Grapheme	Frequency	Codepoint	UnicodeName
ชื้	53	U+0E0A, U+0E37, U+0E49	THAI CHARACTER CHO CHANG, THAI CHARACTER SARA UEE, THAI CHARACTER MAI THO
ชุ	283	U+0E0A, U+0E38	THAI CHARACTER CHO CHANG, THAI CHARACTER SARA U
ชุ่	3	U+0E0A, U+0E38, U+0E48	THAI CHARACTER CHO CHANG, THAI CHARACTER SARA U, THAI CHARACTER MAI EK
ชู	11	U+0E0A, U+0E39	THAI CHARACTER CHO CHANG, THAI CHARACTER SARA UU
ชู้	29	U+0E0A, U+0E39, U+0E49	THAI CHARACTER CHO CHANG, THAI CHARACTER SARA UU, THAI CHARACTER MAI THO
ซ	618	U+0E0B	THAI CHARACTER SO SO
ซ็	2	U+0E0B, U+0E47	THAI CHARACTER SO SO, THAI CHARACTER MAITAIKHU
ซ่	68	U+0E0B, U+0E48	THAI CHARACTER SO SO, THAI CHARACTER MAI EK
ซ้	18	U+0E0B, U+0E49	THAI CHARACTER SO SO, THAI CHARACTER MAI THO
ซ์	3	U+0E0B, U+0E4C	THAI CHARACTER SO SO, THAI CHARACTER THANTHAKHAT
ซั	44	U+0E0B, U+0E31	THAI CHARACTER SO SO, THAI CHARACTER MAI HAN-AKAT
ซ้ำ	21	U+0E0B, U+0E49, U+0E33	THAI CHARACTER SO SO, THAI CHARACTER MAI THO, THAI CHARACTER SARA AM
ซิ	48	U+0E0B, U+0E34	THAI CHARACTER SO SO, THAI CHARACTER SARA I
ซี	178	U+0E0B, U+0E35	THAI CHARACTER SO SO, THAI CHARACTER SARA II
ซี้	1	U+0E0B, U+0E35, U+0E49	THAI CHARACTER SO SO, THAI CHARACTER SARA II, THAI CHARACTER MAI THO
ซึ	1	U+0E0B, U+0E36	THAI CHARACTER SO SO, THAI CHARACTER SARA UE
ซึ่	280	U+0E0B, U+0E36, U+0E48	THAI CHARACTER SO SO, THAI CHARACTER SARA UE, THAI CHARACTER MAI EK
ซึ้	4	U+0E0B, U+0E36, U+0E49	THAI CHARACTER SO SO, THAI CHARACTER SARA UE, THAI CHARACTER MAI THO
ซื่	87	U+0E0B, U+0E37, U+0E48	THAI CHARACTER SO SO, THAI CHARACTER SARA UEE, THAI CHARACTER MAI EK
ซื้	38	U+0E0B, U+0E37, U+0E49	THAI CHARACTER SO SO, THAI CHARACTER SARA UEE, THAI CHARACTER MAI THO
ซุ	14	U+0E0B, U+0E38	THAI CHARACTER SO SO, THAI CHARACTER SARA U
ซุ่	1	U+0E0B, U+0E38, U+0E48	THAI CHARACTER SO SO, THAI CHARACTER SARA U, THAI CHARACTER MAI EK
ซู	1650	U+0E0B, U+0E39	THAI CHARACTER SO SO, THAI CHARACTER SARA UU
ฌ	1	U+0E0C	THAI CHARACTER CHO CHOE
ญ	1595	U+0E0D	THAI CHARACTER YO YING
ญ่	336	U+0E0D, U+0E48	THAI CHARACTER YO YING, THAI CHARACTER MAI EK
ญ้	21	U+0E0D, U+0E49	THAI CHARACTER YO YING, THAI CHARACTER MAI THO
ญ์	2	U+0E0D, U+0E4C	THAI CHARACTER YO YING, THAI CHARACTER THANTHAKHAT
ญั	5	U+0E0D, U+0E31	THAI CHARACTER YO YING, THAI CHARACTER MAI HAN-AKAT
ญิ	236	U+0E0D, U+0E34	THAI CHARACTER YO YING, THAI CHARACTER SARA I
ญู	2	U+0E0D, U+0E39	THAI CHARACTER YO YING, THAI CHARACTER SARA UU
ฎ	397	U+0E0E	THAI CHARACTER DO CHADA
ฏ	63	U+0E0F	THAI CHARACTER TO PATAK
ฏิ	167	U+0E0F, U+0E34	THAI CHARACTER TO PATAK, THAI CHARACTER SARA I
ฐ	269	U+0E10	THAI CHARACTER THO THAN
ฐี	13	U+0E10, U+0E35	THAI CHARACTER THO THAN, THAI CHARACTER SARA II
ฑ์	2	U+0E11, U+0E4C	THAI CHARACTER THO NANGMONTHO, THAI CHARACTER THANTHAKHAT
ณ	4058	U+0E13	THAI CHARACTER NO NEN
ณ์	66	U+0E13, U+0E4C	THAI CHARACTER NO NEN, THAI CHARACTER THANTHAKHAT
ณี	32	U+0E13, U+0E35	THAI CHARACTER NO NEN, THAI CHARACTER SARA II
ด	8349	U+0E14	THAI CHARACTER DO DEK
ด็	170	U+0E14, U+0E47	THAI CHARACTER DO DEK, THAI CHARACTER MAITAIKHU
ด่	46	U+0E14, U+0E48	THAI CHARACTER DO DEK, THAI CHARACTER MAI EK
ด้	5858	U+0E14, U+0E49	THAI CHARACTER DO DEK, THAI CHARACTER MAI THO
ดั	345	U+0E14, U+0E31	THAI CHARACTER DO DEK, THAI CHARACTER MAI HAN-AKAT
ดั่	2	U+0E14, U+0E31, U+0E48	THAI CHARACTER DO DEK, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI EK
ดำ	8	U+0E14, U+0E33	THAI CHARACTER DO DEK, THAI CHARACTER SARA AM
ดิ	592	U+0E14, U+0E34	THAI CHARACTER DO DEK, THAI CHARACTER SARA I
ดิ่	3	U+0E14, U+0E34, U+0E48	THAI CHARACTER DO DEK, THAI CHARACTER SARA I, THAI CHARACTER MAI EK
ดิ้	12	U+0E14, U+0E34, U+0E49	THAI CHARACTER DO DEK, THAI CHARACTER SARA I, THAI CHARACTER MAI THO
ดิ์	77	U+0E14, U+0E34, U+0E4C	THAI CHARACTER DO DEK, THAI CHARACTER SARA I, THAI CHARACTER THANTHAKHAT
ดี	1357	U+0E14, U+0E35	THAI CHARACTER DO DEK, THAI CHARACTER SARA II
ดี่	1	U+0E14, U+0E35, U+0E48	THAI CHARACTER DO DEK, THAI CHARACTER SARA II, THAI CHARACTER MAI EK
ดี๋	84	U+0E14, U+0E35, U+0E4B	THAI CHARACTER DO DEK, THAI CHARACTER SARA II, THAI CHARACTER MAI CHATTAWA
ดึ	23	U+0E14, U+0E36	THAI CHARACTER DO DEK, THAI CHARACTER SARA UE
ดื	33	U+0E14, U+0E37	THAI CHARACTER DO DEK, THAI CHARACTER SARA UEE
ดื่	134	U+0E14, U+0E37, U+0E48	THAI CHARACTER DO DEK, THAI CHARACTER SARA UEE, THAI CHARACTER MAI EK
ดื้	24	U+0E14, U+0E37, U+0E49	THAI CHARACTER DO DEK, THAI CHARACTER SARA UEE, THAI CHARACTER MAI THO
ดุ	30	U+0E14, U+0E38	THAI CHARACTER DO DEK, THAI CHARACTER SARA U
ดุ้	2	U+0E14, U+0E38, U+0E49	THAI CHARACTER DO DEK, THAI CHARACTER SARA U, THAI CHARACTER MAI THO
ดู	442	U+0E14, U+0E39	THAI CHARACTER DO DEK, THAI CHARACTER SARA UU
ต	6786	U+0E15	THAI CHARACTER TO TAO
ต็	200	U+0E15, U+0E47	THAI CHARACTER TO TAO, THAI CHARACTER MAITAIKHU
ต่	3486	U+0E15, U+0E48	THAI CHARACTER TO TAO, THAI CHARACTER MAI EK
ต้	1254	U+0E15, U+0E49	THAI CHARACTER TO TAO, THAI CHARACTER MAI THO
ต๊	26	U+0E15, U+0E4A	THAI CHARACTER TO TAO, THAI CHARACTER MAI TRI
ต์	664	U+0E15, U+0E4C	THAI CHARACTER TO TAO, THAI CHARACTER THANTHAKHAT
ตั	1333	U+0E15, U+0E31	THAI CHARACTER TO TAO, THAI CHARACTER MAI HAN-AKAT
ตั้	299	U+0E15, U+0E31, U+0E49	THAI CHARACTER TO TAO, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI THO
ตั๊	3	U+0E15, U+0E31, U+0E4A	THAI CHARACTER TO TAO, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI TRI
